date,predicted_close,actual_close
2024-04-03,16286.927,16277.4599609375
2024-04-04,16189.137,16049.080078125
2024-04-05,16326.938,16248.51953125
2024-04-08,16253.324,16253.9599609375
2024-04-09,16349.445,16306.6396484375
2024-04-10,16197.335,16170.3603515625
2024-04-11,16401.125,16442.19921875
2024-04-12,16216.921,16175.08984375
2024-04-15,16097.815,15885.01953125
2024-04-16,16028.877,15865.25
2024-04-17,15816.587,15683.3701171875
2024-04-18,15695.349,15601.5
2024-04-19,15424.152,15282.009765625
2024-04-22,15508.737,15451.3095703125
2024-04-23,15616.438,15696.6396484375
2024-04-24,15681.788,15712.75
2024-04-25,15603.296,15611.759765625
2024-04-26,15850.926,15927.900390625
2024-04-29,15957.649,15983.080078125
2024-04-30,15738.149,15657.8203125
2024-05-01,15706.892,15605.48046875
2024-05-02,15857.428,15840.9599609375
2024-05-03,16047.681,16156.330078125
2024-05-06,16218.717,16349.25
2024-05-07,16267.058,16332.5595703125
2024-05-08,16285.006,16302.759765625
2024-05-09,16325.32,16346.259765625
2024-05-10,16324.776,16340.8701171875
2024-05-13,16380.931,16388.240234375
2024-05-14,16457.635,16511.1796875
2024-05-15,16596.064,16742.390625
2024-05-16,16623.047,16698.3203125
2024-05-17,16753.867,16685.970703125
2024-05-20,16857.162,16794.869140625
2024-05-21,16906.512,16832.619140625
2024-05-22,16904.102,16801.5390625
2024-05-23,16919.64,16736.029296875
2024-05-24,16991.129,16920.7890625
2024-05-28,17016.797,17019.880859375
2024-05-29,16968.682,16920.580078125
2024-05-30,16878.809,16737.080078125
2024-05-31,16879.594,16735.01953125
2024-06-03,16859.582,16828.669921875
2024-06-04,16903.627,16857.05078125
2024-06-05,17069.094,17187.900390625
2024-06-06,17166.344,17173.119140625
2024-06-07,17197.031,17133.130859375
2024-06-10,17202.535,17192.529296875
2024-06-11,17266.164,17343.55078125
2024-06-12,17436.307,17608.439453125
2024-06-13,17627.865,17667.560546875
2024-06-14,17676.953,17688.880859375
2024-06-17,17769.217,17857.01953125
2024-06-18,17827.969,17862.23046875
2024-06-20,17789.684,17721.58984375
2024-06-21,17757.455,17689.359375
2024-06-24,17581.723,17496.8203125
2024-06-25,17744.191,17717.650390625
2024-06-26,17757.188,17805.16015625
2024-06-27,17833.1,17858.6796875
2024-06-28,17800.727,17732.599609375
2024-07-01,17904.672,17879.30078125
2024-07-02,17973.203,18028.759765625
2024-07-03,18111.863,18188.30078125
2024-07-05,18273.602,18352.759765625
2024-07-08,18361.496,18403.740234375
2024-07-09,18445.072,18429.2890625
2024-07-10,18611.55,18647.44921875
2024-07-11,18430.262,18283.41015625
2024-07-12,18492.64,18398.44921875
2024-07-15,18503.496,18472.5703125
2024-07-16,18569.205,18509.33984375
2024-07-17,18193.047,17996.919921875
2024-07-18,18107.613,17871.220703125
2024-07-19,17924.195,17726.939453125
2024-07-22,18051.762,18007.5703125
2024-07-23,18010.75,17997.349609375
2024-07-24,17682.213,17342.41015625
2024-07-25,17465.271,17181.720703125
2024-07-26,17488.41,17357.880859375
2024-07-29,17445.48,17370.19921875
2024-07-30,17328.826,17147.419921875
2024-07-31,17675.504,17599.400390625
